car_park_no,x_coord,y_coord,xy_coord,LatLng,Latitude,Longitude,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement
RC1,30029.3828,34529.4805,"30029.3828, 34529.4805","1.3285405326358144,103.85155370370218",1.3285405326358144,103.85155370370218,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
RC2,30198.2024,34434.491,"30198.2024, 34434.491","1.3276814736075642,103.853070634121",1.3276814736075642,103.853070634121,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
RC3,30364.4121,34500.5937,"30364.4121, 34500.5937","1.3282792677101074,103.85456412453492",1.3282792677101074,103.85456412453492,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
RHM,26359.4531,29876.1692,"26359.4531, 29876.1692","1.2864578489836465,103.81857760522834",1.2864578489836465,103.81857760522834,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,1.9,N
RHM2,26173.5652,29936.3581,"26173.5652, 29936.3581","1.28700216340459,103.81690732420519",1.28700216340459,103.81690732420519,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
RHM3,26214.2901,30036.7081,"26214.2901, 30036.7081","1.2879096915982478,103.81727324820801",1.2879096915982478,103.81727324820801,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,17,2.15,N
RHM4,26052.2467,30044.7806,"26052.2467, 30044.7806","1.2879826864545887,103.81581722177553",1.2879826864545887,103.81581722177553,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
RHS,26029.8967,30077.9357,"26029.8967, 30077.9357","1.2882825267103089,103.81561639584876",1.2882825267103089,103.81561639584876,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N
SAM,25613.7877,30550.6392,"25613.7877, 30550.6392","1.2925574417002434,103.81187745073767",1.2925574417002434,103.81187745073767,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
SAM2,25516.9485,30705.7785,"25516.9485, 30705.7785","1.2939604527197077,103.81100729727986",1.2939604527197077,103.81100729727986,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,12,2.15,N
SB1,26746.7947,47569.9618,"26746.7947, 47569.9618","1.4464734530386192,103.82205727917413",1.4464734530386192,103.82205727917413,MULTI-STOREY CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,5,2.15,N
